Comment,Quantity,Designator,Footprint,JLCPCB Part,Link,,,,,,,,,,,,,,
MOLEX CONNECTOR,8,"J2,J3,J4,J5,J6,J7,J8,J9",MOLEX_22-03-5035,C293315,https://jlcpcb.com/partdetail/MOLEX-22035035/C293315?_gl=1%2a7wn0kl%2a_gcl_au%2aMTM3NjMyMjUwMi4xNzU5OTYzODAwLjE0NTg3MDQwMDUuMTc2MDEzOTgyMS4xNzYwMTM5ODc2%2a_ga%2aMTUzMjU0NjMwNS4xNzU5OTYzODAw%2a_ga_VB33MLCQS2%2aczE3NjAxMzk1ODgkbzEkZzEkdDE3NjAxNDAwMzkkajQ5JGwwJGgw%2a_ga_BZ8D96C9TK%2aczE3NjAxMzk1ODgkbzEkZzEkdDE3NjAxNDAwMzkkajQ5JGwwJGgw_gl=1%2a7wn0kl%2a_gcl_au%2aMTM3NjMyMjUwMi4xNzU5OTYzODAwLjE0NTg3MDQwMDUuMTc2MDEzOTgyMS4xNzYwMTM5ODc2%2a_ga%2aMTUzMjU0NjMwNS4xNzU5OTYzODAw%2a_ga_VB33MLCQS2%2aczE3NjAxMzk1ODgkbzEkZzEkdDE3NjAxNDAwMzkkajQ5JGwwJGgw%2a_ga_BZ8D96C9TK%2aczE3NjAxMzk1ODgkbzEkZzEkdDE3NjAxNDAwMzkkajQ5JGwwJGgw,,,,,,,,,,,,,,
JST 3 PIN CONNECTOR,1,J1,JST S3P-VH(LF)(SN),C264986,https://jlcpcb.com/partdetail/JST-S3P_VH_LF_SN/C264986,,,,,,,,,,,,,,
