Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer,,,,,,,,,,,,,
J1,JST 3 PIN CONNECTOR,JST S3P-VH(LF)(SN),16.7,-7.5825,180,TOP,,,,,,,,,,,,,
J2,MOLEX CONNECTOR,MOLEX_22-03-5035,24.65,-21.3125,0,TOP,,,,,,,,,,,,,
J3,MOLEX CONNECTOR,MOLEX_22-03-5035,24.5,-15.8125,0,TOP,,,,,,,,,,,,,
J4,MOLEX CONNECTOR,MOLEX_22-03-5035,8,-9.3125,90,TOP,,,,,,,,,,,,,
J5,MOLEX CONNECTOR,MOLEX_22-03-5035,3.15,-15.8125,0,TOP,,,,,,,,,,,,,
J6,MOLEX CONNECTOR,MOLEX_22-03-5035,3.15,-21.3125,0,TOP,,,,,,,,,,,,,
J7,MOLEX CONNECTOR,MOLEX_22-03-5035,13.8375,-13.65,0,TOP,,,,,,,,,,,,,
J8,MOLEX CONNECTOR,MOLEX_22-03-5035,13.8375,-19.15,0,TOP,,,,,,,,,,,,,
J9,MOLEX CONNECTOR,MOLEX_22-03-5035,26.5,-9.2625,90,TOP,,,,,,,,,,,,,
